word,count
σωφρονέω,243
ζημιόω,243
μηχανάομαι,243
διαθήκη,243
βασιλεύω,242
κρύπτω,242
ταράσσω,242
βραχίων,242
ἀπόφασις,242
πολεμικός,241
πάθημα,241
Δελφοί,241
προσδέχομαι,241
θύρα,241
στέφανος,241
στεφανόω,241
ἰσχίον,241
ποσός,241
αἴρω,240
πέμπτος,240
ἐγκαλέω,240
ἐξετάζω,240
ἧπαρ,240
ἐπαίρω,239
θυσία,239
ἐντυγχάνω,239
ἐξευρίσκω,239
τελευτή,238
Κροῖσος,238
ἀπαντάω,238
χορός,238
χροιά,238
ὄργανον,238
Ἀχαιός,236
τριακόσιοι,236
βοήθεια,236
εὐτυχέω,236
κύστις,236
κάλλος,235
στρέφω,235
ἐκφέρω,234
τελέω,234
ἐπιστολή,234
σοφιστής,234
διδάσκαλος,234
γόνυ,234
σφαῖρα,234
δρόμος,233
πέρας,233
ἀείδω,233
μεθίημι,233
γραμμή,233
διαμένω,233
ἀκριβής,232
κοσμέω,232
περιοράω,232
τάφος,232
ἐλλείπω,232
κρέας,232
φυγή,231
συχνός,231
γέλοιος,231
ἑκούσιος,230
ἀρέσκω,230
ἀποβαίνω,230
φυλή,229
πλεύμων,229
ἐφίημι,228
φυγάς,228
βραδύς,228
ἀγγέλλω,228
ἵημι,228
δουλεύω,227
κατέρχομαι,227
ποτόν,227
τραῦμα,227
Ἅιδης,227
κτῆσις,226
προσβάλλω,226
διάγω,226
τίμιος,226
παρίημι,225
ἄπειμι,225
ῥῆμα,225
κλέπτω,225
πλατύς,224
αἰδοῖον,223
δεσμός,223
φθάνω,222
παραινέω,222
διπλόος,222
πονηρία,222
ἀντιστρέφω,222
συγγνώμη,221
ἔργω,221
πρόβατον,221
ἄκρατος,221
γνωρίζω,221
νεῦρον,221
ἐμμένω,220
Τροία,220
πένης,220
βλάβη,219
συμπίπτω,219
παραγγέλλω,219
εὐδοκιμέω,219
μάντις,219
ἕψω,219
ἀγαπάω,219
ἑῷος,219
σπλήν,219
διαίρεσις,219
ἀνάλογος,219
χυμός,219
Ἀρκάς,218
πιέζω,218
πλόος,218
ἐξελαύνω,218
ἀκρατής,218
χρῆσις,217
βοάω,217
ἀσκέω,217
μεθίστημι,216
Θεσσαλός,216
θεά,216
ἐρυθρός,216
στρατεία,215
ποίησις,215
μουσική,215
κατατίθημι,214
περιέρχομαι,214
νίκη,214
συνάπτω,214
καταγιγνώσκω,214
ψύχω,214
βέβαιος,213
ἀναχωρέω,213
βίαιος,213
πωλέω,213
μισθόω,213
δημιουργός,213
ἁρμονία,213
στερεός,213
ἐμποιέω,212
ἐπάγω,212
ὑπολείπω,212
προσγίγνομαι,212
ἀνόμοιος,212
ἁμάρτημα,211
δώδεκα,211
γενναῖος,211
ἀγανακτέω,211
δισσός,211
μηχανή,210
ἀείρω,210
ἀνόσιος,210
ἄπορος,209
εὔνους,209
κόπτω,209
λήγω,209
Τισσαφέρνης,209
μακάριος,209
ποτός,208
Ἑλλήσποντος,207
Θῆβαι,207
οἶος,207
ὑποχόνδριος,207
σμύρνα,206
ἀπιστέω,205
ἄλογος,205
μέμφομαι,205
φθονέω,205
ἱππικός,205
ἑσπέρα,205
ἐκπλέω,204
ἀίδιος,204
δύσις,204
πέτρα,204
δριμύς,204
ὀκτώ,203
εἰκών,203
ἔμετος,203
Σάμος,202
ἀνατίθημι,202
ἄγνοια,202
διηγέομαι,202
αἰσχύνη,201
Ἱππίας,201
ἄριστον,201
χρυσίον,201
ἥμερος,201
ζωή,201
σκεῦος,200
εὐώδης,200
ἐνδεής,199
χρόνιος,199
ἔγκλημα,199
ἐργασία,199
μανία,199
γονεύς,199
ἄλγημα,199
ὀχεύω,199
ῥῖγος,199
Σπαρτιάτης,198
ἀλλοιόω,198
λιπαρός,198
ὦμος,198
φιλόσοφος,198
ἔναιμος,198
Ἡρακλῆς,197
ἀκρόπολις,197
χῶρος,197
διάστημα,197
